"id;""pesid"";""data_inversa"";""dia_semana"";""horario"";""uf"";""br"";""km"";""municipio"";""causa_principal"";""causa_acidente"";""ordem_tipo_acidente"";""tipo_acidente"";""classificacao_acidente"";""fase_dia"";""sentido_via"";""condicao_metereologica"";""tipo_pista"";""tracado_via"";""uso_solo"";""id_veiculo"";""tipo_veiculo"";""marca"";""ano_fabricacao_veiculo"";""tipo_envolvido"";""estado_fisico"";""idade"";""sexo"";""ilesos"";""feridos_leves"";""feridos_graves"";""mortos"";""latitude"";""longitude"";""regional"";""delegacia"";""uop""",,,
"182219;402100;2019-01-01;""terça-feira"";""00:50:00"";""GO"";50;280","3;""CATALAO"";""Sim"";""Desobediência às normas de trânsito pelo condutor"";1;""Colisão transversal"";""Com Vítimas Feridas"";""Plena Noite"";""Decrescente"";""Céu Claro"";""Dupla"";""Reta"";""Sim"";324883;""Motoneta"";""HONDA/BIZ 125 MAIS"";2008;""Condutor"";""Lesões Leves"";26;""Feminino"";0;1;0;0;-18",1784;-47,"9362;""SR-GO"";""DEL1/6"";""UOP01/GO"""
"182219;402101;2019-01-01;""terça-feira"";""00:50:00"";""GO"";50;280","3;""CATALAO"";""Sim"";""Desobediência às normas de trânsito pelo condutor"";1;""Colisão transversal"";""Com Vítimas Feridas"";""Plena Noite"";""Decrescente"";""Céu Claro"";""Dupla"";""Reta"";""Sim"";324883;""Motoneta"";""HONDA/BIZ 125 MAIS"";2008;""Passageiro"";""Ileso"";17;""Feminino"";1;0;0;0;-18",1784;-47,"9362;""SR-GO"";""DEL1/6"";""UOP01/GO"""
"182219;402099;2019-01-01;""terça-feira"";""00:50:00"";""GO"";50;280","3;""CATALAO"";""Sim"";""Desobediência às normas de trânsito pelo condutor"";1;""Colisão transversal"";""Com Vítimas Feridas"";""Plena Noite"";""Decrescente"";""Céu Claro"";""Dupla"";""Reta"";""Sim"";324882;""Automóvel"";""VW/GOL 1.0"";2012;""Condutor"";""Ileso"";44;""Masculino"";1;0;0;0;-18",1784;-47,"9362;""SR-GO"";""DEL1/6"";""UOP01/GO"""
"182220;405028;2019-01-01;""terça-feira"";""02:25:00"";""GO"";60;172;""GOIANIA"";""Sim"";""Desobediência às normas de trânsito pelo pedestre"";1;""Atropelamento de Pedestre"";""Com Vítimas Fatais"";""Plena Noite"";""Decrescente"";""Chuva"";""Dupla"";""Reta"";""Não"";324886;""Automóvel"";"""";NA;""Condutor"";""Não Informado"";NA;""Não Informado"";0;0;0;0;-16",738;-49,"4076;""SR-GO"";""DEL1/1"";""UOP02/GO""",
"182220;405027;2019-01-01;""terça-feira"";""02:25:00"";""GO"";60;172;""GOIANIA"";""Sim"";""Desobediência às normas de trânsito pelo pedestre"";1;""Atropelamento de Pedestre"";""Com Vítimas Fatais"";""Plena Noite"";""Decrescente"";""Chuva"";""Dupla"";""Reta"";""Não"";324886;""Automóvel"";"""";NA;""Testemunha"";""Não Informado"";NA;""Não Informado"";0;0;0;0;-16",738;-49,"4076;""SR-GO"";""DEL1/1"";""UOP02/GO""",
"182220;402087;2019-01-01;""terça-feira"";""02:25:00"";""GO"";60;172;""GOIANIA"";""Sim"";""Desobediência às normas de trânsito pelo pedestre"";1;""Atropelamento de Pedestre"";""Com Vítimas Fatais"";""Plena Noite"";""Decrescente"";""Chuva"";""Dupla"";""Reta"";""Não"";324886;""Automóvel"";"""";NA;""Pedestre"";""Óbito"";18;""Masculino"";0;0;0;1;-16",738;-49,"4076;""SR-GO"";""DEL1/1"";""UOP02/GO""",
"182223;402132;2019-01-01;""terça-feira"";""02:15:00"";""RS"";386;73","7;""BOA VISTA DAS MISSOES"";""Sim"";""Ingestão de Álcool"";1;""Colisão frontal"";""Com Vítimas Feridas"";""Plena Noite"";""Decrescente"";""Nublado"";""Simples"";""Curva"";""Sim"";324872;""Automóvel"";""FORD/FIESTA FLEX"";2011;""Passageiro"";""Lesões Leves"";36;""Feminino"";0;1;0;0;-27",693541;-53,"300945;""SR-RS"";""DEL08"";""UOP02/RS"""
"182223;402132;2019-01-01;""terça-feira"";""02:15:00"";""RS"";386;73","7;""BOA VISTA DAS MISSOES"";""Não"";""Falta de Atenção à Condução"";1;""Colisão frontal"";""Com Vítimas Feridas"";""Plena Noite"";""Decrescente"";""Nublado"";""Simples"";""Curva"";""Sim"";324872;""Automóvel"";""FORD/FIESTA FLEX"";2011;""Passageiro"";""Lesões Leves"";36;""Feminino"";0;1;0;0;-27",693541;-53,"300945;""SR-RS"";""DEL08"";""UOP02/RS"""
"182223;402127;2019-01-01;""terça-feira"";""02:15:00"";""RS"";386;73","7;""BOA VISTA DAS MISSOES"";""Sim"";""Ingestão de Álcool"";1;""Colisão frontal"";""Com Vítimas Feridas"";""Plena Noite"";""Decrescente"";""Nublado"";""Simples"";""Curva"";""Sim"";324871;""Automóvel"";""GM/CORSA SUPER"";2000;""Passageiro"";""Lesões Graves"";36;""Feminino"";0;0;1;0;-27",693541;-53,"300945;""SR-RS"";""DEL08"";""UOP02/RS"""
"182223;402127;2019-01-01;""terça-feira"";""02:15:00"";""RS"";386;73","7;""BOA VISTA DAS MISSOES"";""Não"";""Falta de Atenção à Condução"";1;""Colisão frontal"";""Com Vítimas Feridas"";""Plena Noite"";""Decrescente"";""Nublado"";""Simples"";""Curva"";""Sim"";324871;""Automóvel"";""GM/CORSA SUPER"";2000;""Passageiro"";""Lesões Graves"";36;""Feminino"";0;0;1;0;-27",693541;-53,"300945;""SR-RS"";""DEL08"";""UOP02/RS"""
